Lontitude,Latitude,StartYear,disturb_duration,recovery_duration,Disturbance_Depth,depth/disturb_year,depth*disturb_year,depth/recovery_year,depth*recovery_year,depth/totalYear,depth*totalYear,Disturbance
123.327,45.303,2002,1,12,555.49,555.49,555.49,46.29083333,6665.88,42.73,7221.37,Deforestation
123.329,45.303,2002,1,12,594.97,594.97,594.97,49.58083333,7139.64,45.76692308,7734.61,Deforestation
123.331,45.303,2002,1,12,662.45,662.45,662.45,55.20416667,7949.4,50.95769231,8611.85,Deforestation
123.335,45.303,1996,2,17,320.7,160.35,641.4,18.86470588,5451.9,16.87894737,6093.3,Deforestation
123.337,45.303,2000,1,14,239.01,239.01,239.01,17.07214286,3346.14,15.934,3585.15,Deforestation
123.365,45.303,1985,1,11,287.6,287.6,287.6,26.14545455,3163.6,23.96666667,3451.2,Deforestation
123.383,45.303,2002,2,11,781.13,390.565,1562.26,71.01181818,8592.43,60.08692308,10154.69,Deforestation
123.396,45.303,2003,1,11,353.6,353.6,353.6,32.14545455,3889.6,29.46666667,4243.2,Deforestation
123.398,45.303,2000,1,11,404.88,404.88,404.88,36.80727273,4453.68,33.74,4858.56,Deforestation
123.404,45.303,1988,1,21,706.09,706.09,706.09,33.62333333,14827.89,32.095,15533.98,Deforestation
123.406,45.303,1999,1,15,732.25,732.25,732.25,48.81666667,10983.75,45.765625,11716,Deforestation
123.385,45.304,2002,2,11,685.54,342.77,1371.08,62.32181818,7540.94,52.73384615,8912.02,Deforestation
123.387,45.304,2002,2,11,637.18,318.59,1274.36,57.92545455,7008.98,49.01384615,8283.34,Deforestation
123.393,45.304,1990,1,12,678.96,678.96,678.96,56.58,8147.52,52.22769231,8826.48,Deforestation
123.396,45.304,2003,1,11,470.36,470.36,470.36,42.76,5173.96,39.19666667,5644.32,Deforestation
123.398,45.304,2000,1,14,500.02,500.02,500.02,35.71571429,7000.28,33.33466667,7500.3,Deforestation
123.406,45.304,1994,1,20,348.15,348.15,348.15,17.4075,6963,16.57857143,7311.15,Deforestation
123.321,45.305,1988,1,23,193.95,193.95,193.95,8.432608696,4460.85,8.08125,4654.8,Deforestation
123.327,45.305,1991,1,12,529.97,529.97,529.97,44.16416667,6359.64,40.76692308,6889.61,Deforestation
123.329,45.305,1991,1,15,460.06,460.06,460.06,30.67066667,6900.9,28.75375,7360.96,Deforestation
123.331,45.305,1999,1,15,333.86,333.86,333.86,22.25733333,5007.9,20.86625,5341.76,Deforestation
123.357,45.305,2001,2,12,706.15,353.075,1412.3,58.84583333,8473.8,50.43928571,9886.1,Deforestation
123.394,45.305,1990,1,22,541.14,541.14,541.14,24.59727273,11905.08,23.52782609,12446.22,Deforestation
123.396,45.305,2001,1,13,280.73,280.73,280.73,21.59461538,3649.49,20.05214286,3930.22,Deforestation
123.398,45.305,1994,1,16,385.96,385.96,385.96,24.1225,6175.36,22.70352941,6561.32,Deforestation
123.4,45.305,1993,8,11,554.15,69.26875,4433.2,50.37727273,6095.65,29.16578947,10528.85,Deforestation
123.404,45.305,1998,1,13,209.71,209.71,209.71,16.13153846,2726.23,14.97928571,2935.94,Deforestation
123.406,45.305,1993,1,21,380.4,380.4,380.4,18.11428571,7988.4,17.29090909,8368.8,Deforestation
123.383,45.306,1990,2,13,642.84,321.42,1285.68,49.44923077,8356.92,42.856,9642.6,Deforestation
123.391,45.306,1991,1,23,230.64,230.64,230.64,10.02782609,5304.72,9.61,5535.36,Deforestation
123.393,45.306,1991,2,22,678.2,339.1,1356.4,30.82727273,14920.4,28.25833333,16276.8,Deforestation
123.394,45.306,1985,1,28,290.25,290.25,290.25,10.36607143,8127,10.00862069,8417.25,Deforestation
123.398,45.306,2000,1,14,166.01,166.01,166.01,11.85785714,2324.14,11.06733333,2490.15,Deforestation
123.402,45.306,1993,1,21,274.3,274.3,274.3,13.06190476,5760.3,12.46818182,6034.6,Deforestation
123.325,45.307,2001,1,13,672.63,672.63,672.63,51.74076923,8744.19,48.045,9416.82,Deforestation
123.327,45.307,1990,2,16,581.03,290.515,1162.06,36.314375,9296.48,32.27944444,10458.54,Deforestation
123.331,45.307,1999,1,15,581.18,581.18,581.18,38.74533333,8717.7,36.32375,9298.88,Deforestation
123.337,45.307,1987,1,22,581.36,581.36,581.36,26.42545455,12789.92,25.27652174,13371.28,Deforestation
123.339,45.307,1987,1,26,762.72,762.72,762.72,29.33538462,19830.72,28.24888889,20593.44,Deforestation
123.351,45.307,1993,1,21,255.67,255.67,255.67,12.1747619,5369.07,11.62136364,5624.74,Deforestation
123.359,45.307,2000,1,11,596.92,596.92,596.92,54.26545455,6566.12,49.74333333,7163.04,Deforestation
123.375,45.307,1987,1,16,404.38,404.38,404.38,25.27375,6470.08,23.78705882,6874.46,Deforestation
123.377,45.307,1987,3,25,505.85,168.6166667,1517.55,20.234,12646.25,18.06607143,14163.8,Deforestation
123.379,45.307,1987,1,17,294.21,294.21,294.21,17.30647059,5001.57,16.345,5295.78,Deforestation
123.383,45.307,1991,1,23,723.3,723.3,723.3,31.44782609,16635.9,30.1375,17359.2,Deforestation
123.394,45.307,1991,2,22,727.36,363.68,1454.72,33.06181818,16001.92,30.30666667,17456.64,Deforestation
123.396,45.307,1991,1,13,336.76,336.76,336.76,25.90461538,4377.88,24.05428571,4714.64,Deforestation
123.402,45.307,1985,2,28,578.63,289.315,1157.26,20.66535714,16201.64,19.28766667,17358.9,Deforestation
123.406,45.307,1994,1,15,252.64,252.64,252.64,16.84266667,3789.6,15.79,4042.24,Deforestation
123.385,45.308,1991,1,23,623.3,623.3,623.3,27.1,14335.9,25.97083333,14959.2,Deforestation
123.389,45.308,2003,1,11,527.97,527.97,527.97,47.99727273,5807.67,43.9975,6335.64,Deforestation
123.393,45.308,1991,1,15,384.98,384.98,384.98,25.66533333,5774.7,24.06125,6159.68,Deforestation
123.394,45.308,1991,2,22,656.11,328.055,1312.22,29.82318182,14434.42,27.33791667,15746.64,Deforestation
123.396,45.308,1991,1,23,507.82,507.82,507.82,22.07913043,11679.86,21.15916667,12187.68,Deforestation
123.402,45.308,1985,1,18,502.55,502.55,502.55,27.91944444,9045.9,26.45,9548.45,Deforestation
123.404,45.308,1985,1,29,254.06,254.06,254.06,8.760689655,7367.74,8.468666667,7621.8,Deforestation
123.406,45.308,2000,4,11,686.36,171.59,2745.44,62.39636364,7549.96,45.75733333,10295.4,Deforestation
123.327,45.309,1990,5,14,660.6,132.12,3303,47.18571429,9248.4,34.76842105,12551.4,Deforestation
123.329,45.309,1990,1,23,528.82,528.82,528.82,22.99217391,12162.86,22.03416667,12691.68,Deforestation
123.331,45.309,1990,1,20,567.48,567.48,567.48,28.374,11349.6,27.02285714,11917.08,Deforestation
123.333,45.309,1990,1,18,547.19,547.19,547.19,30.39944444,9849.42,28.79947368,10396.61,Deforestation
123.335,45.309,1990,1,15,624.39,624.39,624.39,41.626,9365.85,39.024375,9990.24,Deforestation
123.339,45.309,1987,1,16,414.57,414.57,414.57,25.910625,6633.12,24.38647059,7047.69,Deforestation
123.341,45.309,1994,1,13,497.61,497.61,497.61,38.27769231,6468.93,35.54357143,6966.54,Deforestation
123.345,45.309,1994,1,12,592.67,592.67,592.67,49.38916667,7112.04,45.59,7704.71,Deforestation
123.353,45.309,2000,1,11,499.9,499.9,499.9,45.44545455,5498.9,41.65833333,5998.8,Deforestation
123.355,45.309,2000,1,12,569.26,569.26,569.26,47.43833333,6831.12,43.78923077,7400.38,Deforestation
123.357,45.309,2000,1,14,544.61,544.61,544.61,38.90071429,7624.54,36.30733333,8169.15,Deforestation
123.361,45.309,2000,1,14,236.88,236.88,236.88,16.92,3316.32,15.792,3553.2,Deforestation
123.375,45.309,1987,1,22,595.77,595.77,595.77,27.08045455,13106.94,25.90304348,13702.71,Deforestation
123.379,45.309,1987,1,27,316.67,316.67,316.67,11.72851852,8550.09,11.30964286,8866.76,Deforestation
123.381,45.309,1991,1,20,179.78,179.78,179.78,8.989,3595.6,8.560952381,3775.38,Deforestation
123.402,45.309,1985,5,16,609.46,121.892,3047.3,38.09125,9751.36,29.02190476,12798.66,Deforestation
123.404,45.309,1985,1,27,637.59,637.59,637.59,23.61444444,17214.93,22.77107143,17852.52,Deforestation
123.406,45.309,1985,1,29,594.7,594.7,594.7,20.50689655,17246.3,19.82333333,17841,Deforestation
123.383,45.31,1991,1,23,182.12,182.12,182.12,7.91826087,4188.76,7.588333333,4370.88,Deforestation
123.385,45.31,1991,1,23,170.93,170.93,170.93,7.43173913,3931.39,7.122083333,4102.32,Deforestation
123.387,45.31,2003,1,11,554.51,554.51,554.51,50.41,6099.61,46.20916667,6654.12,Deforestation
123.389,45.31,1995,1,14,427.25,427.25,427.25,30.51785714,5981.5,28.48333333,6408.75,Deforestation
123.404,45.31,1985,7,14,413.16,59.02285714,2892.12,29.51142857,5784.24,19.67428571,8676.36,Deforestation
123.406,45.31,1985,5,13,452.69,90.538,2263.45,34.82230769,5884.97,25.14944444,8148.42,Deforestation
123.327,45.311,1990,3,16,573.86,191.2866667,1721.58,35.86625,9181.76,30.20315789,10903.34,Deforestation
123.329,45.311,1990,5,18,483.15,96.63,2415.75,26.84166667,8696.7,21.00652174,11112.45,Deforestation
123.331,45.311,1990,2,22,438.99,219.495,877.98,19.95409091,9657.78,18.29125,10535.76,Deforestation
123.333,45.311,1990,1,24,238.21,238.21,238.21,9.925416667,5717.04,9.5284,5955.25,Deforestation
123.335,45.311,1990,5,17,380.08,76.016,1900.4,22.35764706,6461.36,17.27636364,8361.76,Deforestation
123.341,45.311,1994,2,16,565.6,282.8,1131.2,35.35,9049.6,31.42222222,10180.8,Deforestation
123.343,45.311,1993,1,15,712.13,712.13,712.13,47.47533333,10681.95,44.508125,11394.08,Deforestation
